event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotness,num_years_active
9352333,2016-08-07T20:00:00-0400,Janet Jackson,Philips Arena,49.7,2222.22,295,999.0,Atlanta,GA,Ticketmaster,45.0,0,410449,147,6824,4132,59,0.3601373449252699,0.795111,0.752127,43
9408915,2016-06-09T19:30:00-0400,Selena Gomez,Philips Arena,85.04,1500.0,106,359.0,Atlanta,GA,Ticketmaster,35.0,0,1059348,88,9475,2202,7,0.4399476127099588,0.770825,0.862321,8
9411812,2016-04-23T20:00:00-0400,Ciara,Center Stage Theatre,55.99,119.0,14,89.0,Atlanta,GA,Ticketmaster,29.0,0,106251,41,8129,962,52,0.39156665147655895,0.749624,0.729409,14
9425408,2016-03-17T20:00:00-0400,Joan Baez,Symphony Hall Atlanta,35.92,392.0,24,76.0,Atlanta,GA,Ticketmaster,29.5,0,222376,4,1352,336,23,0.34566180263441,0.711166,0.592066,58
9425600,2016-06-29T19:00:00-0400,Demi Lovato and Nick Jonas,Philips Arena,46.86,1749.0,182,780.0,Atlanta,GA,Ticketmaster,29.95,0,976211,108,6062,1776,13,0.42707395045850144,0.769929,0.835224,14
9428103,2016-04-08T20:30:00-0400,They Might Be Giants,Variety Playhouse,60.32,1112.0,13,73.0,Atlanta,GA,Ticketmaster,25.0,0,242200,26,2083,231,167,0.3685639791426707,0.70152,0.619015,34
9432150,2016-05-04T19:00:00-0400,Prong,Masquerade Atlanta,48.37,70.0,4,18.0,Atlanta,GA,Ticketmaster,16.0,0,149100,52,1110,289,14,0.40972813200151115,0.61652,0.589147,30
9441117,2016-03-26T19:00:00-0400,Skizzy Mars,Masquerade Atlanta,29.62,999.0,16,59.0,Atlanta,GA,Ticketmaster,14.0,0,4516073,13,353,10,0,0.4472259265162168,0.455172,0.504101,6
9445426,2016-04-12T19:30:00-0400,Justin Bieber,Philips Arena,214.9,3500.0,289,926.0,Atlanta,GA,Ticketmaster,50.5,0,2596951,30,30702,11724,108,0.3768891941678082,0.842991,0.91195,8
9451285,2016-03-23T19:30:00-0400,Joe Satriani,Symphony Hall Atlanta,43.01,11484.0,6,33.0,Atlanta,GA,Ticketmaster,29.5,0,217121,10,2292,483,43,0.33065216015726456,0.749976,0.61644,46
9452596,2016-04-01T20:30:00-0400,Daughter,Terminal West,42.58,65.0,13,34.0,Atlanta,GA,Ticketfly,20.0,1,201667,19,4497,397,27,0.484888303177617,0.61957,0.700804,6
9455706,2016-04-13T19:30:00-0400,Justin Bieber,Philips Arena,209.0,5500.0,231,876.0,Atlanta,GA,Ticketmaster,50.5,0,2596951,31,30702,11724,108,0.3768891941678082,0.842991,0.91195,8
9461076,2016-04-29T21:00:00-0400,polica,Terminal West,60.3,89.0,6,35.0,Atlanta,GA,Ticketfly,16.0,0,4665213,47,1714,349,40,0.5750904634134799,0.445357,0.639432,5
9461149,2016-04-06T20:00:00-0400,Robin Trower,Variety Playhouse,83.44,78.53,7,35.0,Atlanta,GA,Ticketmaster,40.0,0,243623,24,521,31,38,0.3834120181241286,0.61476,0.549685,54
9462347,2016-04-17T19:30:00-0400,Steve Hackett,Symphony Hall Atlanta,117.35,190.0,9,21.0,Atlanta,GA,Ticketmaster,29.5,0,486354,35,1009,170,23,0.3787415978208128,0.616688,0.544745,46
9462611,2016-03-18T20:00:00-0400,The Infamous Stringdusters,Variety Playhouse,54.36,52.44,8,37.0,Atlanta,GA,Ticketmaster,20.0,0,541144,5,282,294,18,0.43025586449572134,0.515952,0.528911,10
9465237,2016-04-01T20:30:00-0400,G. Love and Special Sauce,Variety Playhouse,58.81,79.0,11,56.0,Atlanta,GA,Ticketmaster,27.5,0,252784,19,374,178,22,0.38263672664403936,0.621453,0.554782,24
9472817,2016-04-03T19:00:00-0400,Stick Figure,Terminal West,35.53,66.0,7,39.0,Atlanta,GA,Ticketfly,14.0,0,514431,21,88,0,3,0.5190736964306107,0.255699,0.542266,26
9473806,2016-05-07T20:00:00-0400,Animal Collective,Buckhead Theatre,62.68,1111.0,28,134.0,Atlanta,GA,Ticketmaster,30.0,0,137427,55,11219,1873,294,0.3245912940019448,0.737693,0.588488,17
9474113,2016-04-15T19:00:00-0400,Duran Duran,Philips Arena,83.92,1073.1,115,399.0,Atlanta,GA,Ticketmaster,29.95,0,427500,33,4576,914,102,0.34277813015077824,0.78713,0.700625,38
9475558,2016-04-05T19:30:00-0400,Melanie Martinez,Buckhead Theatre,67.39,144.0,54,112.0,Atlanta,GA,Ticketmaster,26.5,0,6647159,23,243,17,0,0.5059959810852519,0.521479,0.627087,4
9477608,2016-03-16T20:00:00-0400,Rickie Lee Jones,Variety Playhouse,85.1,76.76,2,8.0,Atlanta,GA,Ticketmaster,33.0,0,374600,3,526,113,60,0.3452265861559329,0.633389,0.510861,38
9477725,2016-03-15T20:00:00-0400,Gordon Lightfoot,Symphony Hall Atlanta,70.94,169.0,6,17.0,Atlanta,GA,Ticketmaster,29.5,0,496846,2,782,157,25,0.3609053119782039,0.657622,0.55747,58
9478065,2016-05-07T19:30:00-0400,Blue October,Masquerade Atlanta,52.59,90.0,17,88.0,Atlanta,GA,ShowClix,50.0,0,500273,55,292,33,24,0.4344212483414914,0.607631,0.615481,21
9478461,2016-10-28T19:30:00-0400,Adele,Philips Arena,378.92,5000.0,272,694.0,Atlanta,GA,Ticketmaster,39.5,0,537914,229,20775,6557,131,0.39058666149548404,0.839977,0.935337,10
